Name,Team,Games_Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes
ADRIAN WILLIAMS-STRONG,PHO,34,29.0,86.6,93.9,6.9,0.42,6.3,6.9,23.2,14.1,14.7,40.2,43.0,22.5,986.0
ADRIENNE JOHNSON,CON,34,17.3,92.5,97.4,6.2,0.86,7.3,4.0,6.1,5.0,8.5,39.7,42.1,18.4,588.2
ALLISON FEASTER,CHA,34,32.3,97.3,97.0,15.0,1.01,13.1,4.0,7.8,6.0,12.9,47.1,51.2,22.3,1098.1999999999998
ANDREA STINSON,CHA,34,29.4,97.5,99.1,22.7,1.29,18.4,3.3,12.5,8.0,14.2,49.4,53.0,21.9,999.5999999999999
ANNA DEFORGE,PHO,34,31.4,90.3,94.4,14.5,1.36,14.1,3.0,8.7,5.5,10.4,49.7,52.3,19.8,1067.6
ANNIE BURGESS,WAS,34,24.6,93.6,102.0,22.3,2.15,36.1,2.9,7.2,4.9,16.8,43.3,45.2,11.0,836.4000000000001
ASJHA JONES,CON,34,22.2,96.3,100.4,14.2,0.83,12.4,8.6,11.0,9.7,15.1,44.6,47.8,23.0,754.8
AYANA WALKER,DET,34,7.8,83.0,90.0,8.2,0.53,9.2,13.6,13.5,13.5,17.4,34.3,35.3,16.1,265.2
BARBARA FARRIS,DET,34,15.2,93.5,92.1,8.6,0.56,12.0,6.2,10.2,8.3,21.4,43.4,50.1,14.8,516.8
BETTY LENNOX,SEA,34,16.5,93.1,94.0,13.7,0.55,8.6,3.6,14.5,8.8,15.5,43.1,45.3,29.8,561.0
BROOKE WYCKOFF,CON,34,22.1,98.4,100.2,8.4,0.92,15.0,6.8,13.7,10.3,16.3,45.8,49.4,12.7,751.4000000000001
CHASITY MELVIN,WAS,34,31.3,96.2,95.7,10.9,0.78,9.8,8.5,14.7,11.5,12.6,48.2,54.1,22.1,1064.2
DAWN STALEY,CHA,34,31.9,98.3,99.6,32.9,2.23,34.8,1.5,4.7,3.1,15.6,48.1,54.2,15.3,1084.6
DEMYA WALKER,SAC,34,21.7,93.8,88.9,13.4,0.68,11.1,8.4,13.4,10.8,16.3,46.3,50.3,23.8,737.8
DEANNA JACKSON,IND,34,22.4,99.8,94.8,13.4,1.55,16.2,5.3,8.1,6.6,10.5,49.2,53.5,16.8,761.5999999999999
